period,tp_mult,sl_mult,total_trades,win_rate,total_pnl,expectancy,max_drawdown,conf_threshold
2016-2017,3.0,1.25,11,0.0,-305.8267859654017,-27.802435087763794,-0.030582678596539882,0.11126798391342163
2016-2017,3.25,0.75,11,0.0,-189.73463159877264,-17.248602872615695,-0.018973463159876882,0.11126798391342163
2016-2017,3.25,0.875,11,0.0,-218.75767019042968,-19.887060926402697,-0.021875767019043087,0.11126798391342163
2016-2017,3.25,1.0,11,0.0,-247.78070878208672,-22.525518980189702,-0.024778070878208564,0.11126798391342163
2016-2017,3.25,1.125,11,0.0,-276.80374737374467,-25.16397703397679,-0.027680374737374586,0.11126798391342163
2016-2017,3.25,1.25,11,0.0,-305.8267859654017,-27.802435087763794,-0.030582678596539882,0.11126798391342163
2016-2017,3.5,0.75,11,0.0,-189.73463159877264,-17.248602872615695,-0.018973463159876882,0.11126798391342163
2016-2017,3.5,0.875,11,0.0,-218.75767019042968,-19.887060926402697,-0.021875767019043087,0.11126798391342163
2016-2017,3.5,1.0,11,0.0,-247.78070878208672,-22.525518980189702,-0.024778070878208564,0.11126798391342163
2016-2017,3.5,1.125,11,0.0,-276.80374737374467,-25.16397703397679,-0.027680374737374586,0.11126798391342163
2016-2017,3.5,1.25,11,0.0,-305.8267859654017,-27.802435087763794,-0.030582678596539882,0.11126798391342163
2018-2019,2.5,0.75,8,0.25,-12.31043765345962,-1.538804706682452,-0.006463373099888304,0.11033447086811066
2018-2019,2.5,0.875,8,0.25,-31.257925272042346,-3.9072406590052964,-0.007463284816894702,0.11033447086811066
2018-2019,2.5,1.0,8,0.25,-50.58470749860485,-6.323088437325605,-0.008463196533900737,0.11033447086811066
2018-2019,2.5,1.125,8,0.25,-69.91148972516689,-8.738936215645865,-0.00946310825090677,0.11033447086811066
2018-2019,2.5,1.25,8,0.375,12.520434277344194,1.5650542846680295,-0.010463019967912806,0.11033447086811066
2018-2019,2.75,0.75,8,0.25,-0.6531326171874277,-0.08164157714842801,-0.006463373099888304,0.11033447086811066
2018-2019,2.75,0.875,8,0.25,-19.600620235770155,-2.4500775294712724,-0.007463284816894702,0.11033447086811066
2018-2019,2.75,1.0,8,0.25,-38.92740246233266,-4.865925307791581,-0.008463196533900737,0.11033447086811066
2018-2019,2.75,1.125,8,0.25,-58.2541846888947,-7.281773086111841,-0.00946310825090677,0.11033447086811066
2018-2019,2.75,1.25,8,0.375,30.961653062221686,3.870206632777716,-0.010463019967912806,0.11033447086811066
2018-2019,3.0,0.75,8,0.25,11.00417241908476,1.375521552385596,-0.006463373099888304,0.11033447086811066
2018-2019,3.0,0.875,8,0.25,-7.943315199497963,-0.9929143999372485,-0.007463284816894702,0.11033447086811066
2018-2019,3.0,1.0,8,0.25,-27.270097426060463,-3.4087621782575575,-0.008463196533900737,0.11033447086811066
2018-2019,3.0,1.125,8,0.25,-46.59687965262251,-5.824609956577817,-0.00946310825090677,0.11033447086811066
2018-2019,3.0,1.25,8,0.375,49.40287184709872,6.175358980887346,-0.010463019967912806,0.11033447086811066
2018-2019,3.25,0.75,8,0.25,22.661477455357414,2.8326846819196767,-0.006463373099888304,0.11033447086811066
2018-2019,3.25,0.875,8,0.25,3.7139898367746795,0.4642487295968323,-0.007463284816894702,0.11033447086811066
2018-2019,3.25,1.0,8,0.25,-15.61279238978782,-1.9515990487234767,-0.008463196533900737,0.11033447086811066
2018-2019,3.25,1.125,8,0.25,-34.939574616349866,-4.367446827043736,-0.00946310825090677,0.11033447086811066
2018-2019,3.25,1.25,8,0.375,67.84409063197621,8.480511328997032,-0.010463019967912806,0.11033447086811066
2018-2019,3.5,0.75,8,0.25,34.318782491629605,4.289847811453701,-0.006463373099888304,0.11033447086811066
2018-2019,3.5,0.875,8,0.25,15.371294873046878,1.9214118591308562,-0.007463284816894702,0.11033447086811066
2018-2019,3.5,1.0,8,0.25,-3.955487353515622,-0.49443591918945273,-0.008463196533900737,0.11033447086811066
2018-2019,3.5,1.125,8,0.25,-23.282269580077674,-2.910283697509712,-0.00946310825090677,0.11033447086811066
2018-2019,3.5,1.25,8,0.375,86.28530941685325,10.785663677106662,-0.010463019967912806,0.11033447086811066
2020-2021,2.5,0.75,10,0.6,297.40966907087005,29.740966907087003,-0.005393436435546937,0.1076183021068573
2020-2021,2.5,0.875,10,0.6,291.5864610630577,29.158646106305767,-0.005768818881835978,0.1076183021068573
2020-2021,2.5,1.0,10,0.6,281.7604993233811,28.17604993233811,-0.006420397425362717,0.1076183021068573
2020-2021,2.5,1.125,10,0.6,271.0447029889786,27.10447029889786,-0.007160959428362366,0.1076183021068573
2020-2021,2.5,1.25,10,0.6,260.32890665457563,26.03289066545756,-0.00790152143136147,0.1076183021068573
2020-2021,2.75,0.75,10,0.6,335.9666584681925,33.59666584681925,-0.005393436435546937,0.1076183021068573
2020-2021,2.75,0.875,10,0.6,330.14345046038017,33.01434504603802,-0.005768818881835978,0.1076183021068573
2020-2021,2.75,1.0,10,0.6,320.3174887207036,32.03174887207036,-0.006420397425362717,0.1076183021068573
2020-2021,2.75,1.125,10,0.6,309.60169238630107,30.960169238630108,-0.007160959428362366,0.1076183021068573
2020-2021,2.75,1.25,10,0.6,298.8858960518981,29.88858960518981,-0.00790152143136147,0.1076183021068573
2020-2021,3.0,0.75,10,0.6,374.52364786551317,37.452364786551314,-0.005393436435546937,0.1076183021068573
2020-2021,3.0,0.875,10,0.6,368.7004398577008,36.87004398577008,-0.005768818881835978,0.1076183021068573
2020-2021,3.0,1.0,10,0.6,358.87447811802423,35.887447811802424,-0.006420397425362717,0.1076183021068573
2020-2021,3.0,1.125,10,0.6,348.1586817836217,34.81586817836217,-0.007160959428362366,0.1076183021068573
2020-2021,3.0,1.25,10,0.6,337.44288544921875,33.74428854492187,-0.00790152143136147,0.1076183021068573
2020-2021,3.25,0.75,10,0.6,413.08063726283564,41.308063726283564,-0.005393436435546937,0.1076183021068573
2020-2021,3.25,0.875,10,0.6,407.2574292550233,40.725742925502324,-0.005768818881835978,0.1076183021068573
2020-2021,3.25,1.0,10,0.6,397.4314675153467,39.74314675153467,-0.006420397425362717,0.1076183021068573
2020-2021,3.25,1.125,10,0.6,386.7156711809442,38.671567118094416,-0.007160959428362366,0.1076183021068573
2020-2021,3.25,1.25,10,0.6,375.9998748465412,37.59998748465412,-0.00790152143136147,0.1076183021068573
2020-2021,3.5,0.75,10,0.5,345.44332490234393,34.54433249023439,-0.005393436435546937,0.1076183021068573
